,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,incr,allstudies,unique_id,studlab.orig,rob,year,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio,effect_size1,outcome1_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,rsae1,rsae2,n.orig1,n.orig2,r11,r12,n12
53,AMAGINE-2_2015,PBO,USK,-2.6757335996,0.31705302280000003,10.0,309,141.0,300,0.0,0,76,AMAGINE-2_2015,2,2015,0,1831,45.0,1258.0,19.0,31,91.0,20.0,,,,530.0,RR,beneficial,PBO,USK,PBO,AIL1223,8.0,4.0,309,300,10.0,141.0,300
54,AMAGINE-2_2015,USK,BRODA,-0.2411919043,0.0656393457,141.0,300,731.0,1222,0.0,0,76,AMAGINE-2_2015,2,2015,0,1831,45.0,1258.0,19.0,31,91.0,20.0,,,,530.0,RR,beneficial,USK,BRODA,AIL1223,AIL17,4.0,19.0,300,1222,141.0,731.0,1222
55,AMAGINE-3_2015,USK,BRODA,-0.23700230590000002,0.0635703385,149.0,313,756.0,1253,0.0,0,77,AMAGINE-3_2015,2,2015,0,1881,45.0,1288.0,18.0,30,89.0,20.0,,,,468.0,RR,beneficial,USK,BRODA,AIL1223,AIL17,2.0,19.0,313,1253,149.0,756.0,1253
56,AMAGINE-3_2015,USK,PBO,3.4008778418,0.4475957082,149.0,313,5.0,315,0.0,0,77,AMAGINE-3_2015,2,2015,0,1881,45.0,1288.0,18.0,30,89.0,20.0,,,,468.0,RR,beneficial,USK,PBO,AIL1223,PBO,2.0,3.0,313,315,149.0,5.0,315
57,AMAGINE-3_2015,PBO,BRODA,-3.6378801477,0.44424099720000004,5.0,315,756.0,1253,0.0,0,77,AMAGINE-3_2015,2,2015,0,1881,45.0,1288.0,18.0,30,89.0,20.0,,,,468.0,RR,beneficial,PBO,BRODA,PBO,AIL17,3.0,19.0,315,1253,5.0,756.0,1253
58,Papp_2015,PBO,TILDRA,-2.7492604697000003,0.9922441399,1.0,46,105.0,309,0.0,0,78,Papp_2015,2,2015,0,355,45.0,270.0,,29,,,,,,95.0,RR,beneficial,PBO,TILDRA,PBO,AIL23,0.0,4.0,46,309,1.0,105.0,309
59,PIECE_2016,ETA,IFX,-2.2192034841,1.0082270276,1.0,23,10.0,25,0.0,0,79,PIECE_2016,3,2016,0,48,44.0,31.0,20.0,,,17.0,,,,,RR,beneficial,ETA,IFX,ATA,ATA,1.0,1.0,23,25,1.0,10.0,25
60,Cai_2016,PBO,ADA,-2.7806918973,0.569385326,3.0,87,188.0,338,0.0,0,80,Cai_2016,1,2016,0,425,43.0,312.0,15.0,24,70.0,28.0,,,,,RR,beneficial,PBO,ADA,PBO,ATA,3.0,4.0,87,338,3.0,188.0,338
61,Reich_2015,PBO,SECU,-2.2886766629,1.3846449338,0.0,10,42.0,90,0.5,0,81,Reich_2015,1,2015,0,100,,,,,,,,,,,RR,beneficial,PBO,SECU,PBO,AIL17,0.0,7.0,10,90,0.0,42.0,90
62,Gottlieb_2011,PBO,ETA,-2.7672553763,1.0042434712,1.0,68,33.0,141,0.0,0,84,Gottlieb_2011,1,2011,0,209,43.5,145.0,18.0,,95.0,19.0,192.0,53.0,56.0,30.0,RR,beneficial,PBO,ETA,PBO,ATA,1.0,1.0,68,141,1.0,33.0,141
63,Strober_2011,PBO,ETA,-1.5394167632,0.5910052765,3.0,72,27.0,139,0.0,0,85,Strober_2011,1,2011,0,211,45.0,131.0,15.0,,95.0,18.0,202.0,39.0,64.0,14.0,RR,beneficial,PBO,ETA,PBO,ATA,2.0,1.0,72,139,3.0,27.0,139
64,UNCOVER-1_2016,IXE,PBO,4.9835511922,0.7058542553,586.0,865,2.0,431,0.0,0,86,UNCOVER-1_2016,1,2016,0,1296,46.0,883.0,20.0,,92.0,20.0,,1261.0,684.0,522.0,RR,beneficial,IXE,PBO,AIL17,PBO,18.0,5.0,865,431,586.0,2.0,431
65,METOP_2017,PBO,MTX,-2.3645588525,1.4197812486,0.0,29,16.0,91,0.5,0,87,METOP_2017,1,2016,0,120,45.0,100.0,18.0,30,93.0,15.0,,8.0,36.0,6.0,RR,beneficial,PBO,MTX,PBO,CSA,4.0,1.0,29,91,0.0,16.0,91
66,BRIDGE_2017,PBO,FUM,-1.4973805035,0.4083435006,6.0,138,110.0,566,0.0,0,88,BRIDGE_2017,3,2016,0,704,44.5,452.0,,,,16.0,,,,,RR,beneficial,PBO,FUM,PBO,CSA,5.0,17.0,138,566,6.0,110.0,566
67,Papp_2012c,APRE,PBO,1.9924301647,1.0150384378,22.0,264,1.0,88,0.0,0,91,Papp_2012c,1,2012,0,352,44.0,221.0,19.0,31,92.0,18.5,,,176.0,,RR,beneficial,APRE,PBO,SM,PBO,7.0,2.0,264,88,22.0,1.0,88
68,Papp_2013b,APRE,PBO,,,,173,,87,0.0,0,92,Papp_2013b,3,2013,0,260,46.0,163.0,19.0,,,19.5,,,,,RR,beneficial,APRE,PBO,SM,PBO,2.0,4.0,173,87,,,87
69,LIBERATE_2017,ETA,APRE,0.3483066943,0.3435992974,17.0,83,12.0,83,0.0,0,93,LIBERATE_2017,2,2016,0,250,45.0,157.0,18.0,29.5,88.5,19.5,,,194.0,,RR,beneficial,ETA,APRE,ATA,SM,2.0,3.0,83,83,17.0,12.0,83
70,LIBERATE_2017,ETA,PBO,1.7465772464,0.6067980785,17.0,83,3.0,84,0.0,0,93,LIBERATE_2017,2,2016,0,250,45.0,157.0,18.0,29.5,88.5,19.5,,,194.0,,RR,beneficial,ETA,PBO,ATA,PBO,2.0,0.0,83,84,17.0,3.0,84
71,LIBERATE_2017,PBO,APRE,-1.3982705522,0.6266687418,3.0,84,12.0,83,0.0,0,93,LIBERATE_2017,2,2016,0,250,45.0,157.0,18.0,29.5,88.5,19.5,,,194.0,,RR,beneficial,PBO,APRE,PBO,SM,0.0,3.0,84,83,3.0,12.0,83
72,VOYAGE-1_2016,GUSEL,ADA,0.38789238730000003,0.06434243020000001,241.0,329,166.0,334,0.0,0,94,VOYAGE-1_2016,1,2016,0,837,44.0,608.0,17.5,30,,22.0,762.0,454.0,517.0,175.0,RR,beneficial,GUSEL,ADA,AIL23,ATA,8.0,6.0,329,334,241.0,166.0,334
73,VOYAGE-1_2016,GUSEL,PBO,3.2383565695,0.4419985718,241.0,329,5.0,174,0.0,0,94,VOYAGE-1_2016,1,2016,0,837,44.0,608.0,17.5,30,,22.0,762.0,454.0,517.0,175.0,RR,beneficial,GUSEL,PBO,AIL23,PBO,8.0,3.0,329,174,241.0,5.0,174
74,VOYAGE-1_2016,ADA,PBO,2.8504641822,0.4441654624,166.0,334,5.0,174,0.0,0,94,VOYAGE-1_2016,1,2016,0,837,44.0,608.0,17.5,30,,22.0,762.0,454.0,517.0,175.0,RR,beneficial,ADA,PBO,ATA,PBO,6.0,3.0,334,174,166.0,5.0,174
75,VOYAGE-2_2017,PBO,ADA,-2.9618307219,0.4089288938,6.0,248,116.0,248,0.0,0,95,VOYAGE-2_2017,1,2016,0,992,44.0,692.0,18.0,30,,22.0,947.0,565.0,639.0,204.0,RR,beneficial,PBO,ADA,PBO,ATA,3.0,6.0,248,248,6.0,116.0,248
76,VOYAGE-2_2017,PBO,GUSEL,-3.3644181302,0.4043514857,6.0,248,347.0,496,0.0,0,95,VOYAGE-2_2017,1,2016,0,992,44.0,692.0,18.0,30,,22.0,947.0,565.0,639.0,204.0,RR,beneficial,PBO,GUSEL,PBO,AIL23,3.0,8.0,248,496,6.0,347.0,496
77,VOYAGE-2_2017,GUSEL,ADA,0.4025874083,0.0738521966,347.0,496,116.0,248,0.0,0,95,VOYAGE-2_2017,1,2016,0,992,44.0,692.0,18.0,30,,22.0,947.0,565.0,639.0,204.0,RR,beneficial,GUSEL,ADA,AIL23,ATA,8.0,6.0,496,248,347.0,116.0,248
78,CLARITY_2018,USK,SECU,-0.3458190283,0.0457165451,299.0,552,421.0,550,0.0,0,97,CLARITY_2018,1,2018,0,1102,45.0,732.0,17.0,,92.0,21.0,,,,240.0,RR,beneficial,USK,SECU,AIL1223,AIL17,9.0,14.0,552,550,299.0,421.0,550
79,Elewski_2016,ADA,PBO,1.8950207975,0.38170691300000004,47.0,109,7.0,108,0.0,0,99,Elewski_2016,1,2016,0,217,47.0,183.0,19.0,29,90.0,12.5,,,,,RR,beneficial,ADA,PBO,ATA,PBO,8.0,5.0,109,108,47.0,7.0,108
80,UltIMMa-1_2018 Ê,RISAN,PBO,2.732229203,0.4373481645,229.0,304,5.0,102,0.0,0,101,UltIMMa-1_2018 Ê,1,2018,0,506,48.0,361.0,,29.5,,20.5,,,,174.0,RR,beneficial,RISAN,PBO,AIL23,PBO,7.0,3.0,304,102,229.0,5.0,102
81,UltIMMa-1_2018 Ê,RISAN,USK,0.5841948699,0.1220117304,229.0,304,42.0,100,0.0,0,101,UltIMMa-1_2018 Ê,1,2018,0,506,48.0,361.0,,29.5,,20.5,,,,174.0,RR,beneficial,RISAN,USK,AIL23,AIL1223,7.0,8.0,304,100,229.0,42.0,100
82,UltIMMa-1_2018 Ê,PBO,USK,-2.1480343331,0.4516697934,5.0,102,42.0,100,0.0,0,101,UltIMMa-1_2018 Ê,1,2018,0,506,48.0,361.0,,29.5,,20.5,,,,174.0,RR,beneficial,PBO,USK,PBO,AIL1223,3.0,8.0,102,100,5.0,42.0,100
83,UltIMMa-2_2018 Ê,USK,PBO,3.1468480497,0.7077934049,47.0,99,2.0,98,0.0,0,102,UltIMMa-2_2018 Ê,1,2018,0,491,47.0,336.0,,31,,19.0,,,,203.0,RR,beneficial,USK,PBO,AIL1223,PBO,3.0,1.0,99,98,47.0,2.0,98
84,UltIMMa-2_2018 Ê,USK,RISAN,-0.4550200274,0.1109940523,47.0,99,220.0,294,0.0,0,102,UltIMMa-2_2018 Ê,1,2018,0,491,47.0,336.0,,31,,19.0,,,,203.0,RR,beneficial,USK,RISAN,AIL1223,AIL23,3.0,6.0,99,294,47.0,220.0,294
85,UltIMMa-2_2018 Ê,PBO,RISAN,-3.6018680771,0.7006711157000001,2.0,98,220.0,294,0.0,0,102,UltIMMa-2_2018 Ê,1,2018,0,491,47.0,336.0,,31,,19.0,,,,203.0,RR,beneficial,PBO,RISAN,PBO,AIL23,1.0,6.0,98,294,2.0,220.0,294
