Treatment,RR,CI_lower,CI_upper,WEIGHT,Reference
TOFA,-1.80967086,-4.656539381,1.037197661,0.688475771,BIME
TYK2,-1.423962602,-4.896874741,2.048949536,0.564367862,BIME
USK,-1.246849113,-4.075581366,1.58188314,0.692889897,BIME
ACI,-2.160098983,-3.086367782,-1.233830183,2.116016431,MIRI
ADA,0.181035569,-0.746308035,1.108379172,2.11356394,MIRI
APRE,-0.440174614,-1.52698675,0.646637523,1.803439559,MIRI
BIME,1.611676638,-1.338307267,4.561660544,0.664410405,MIRI
BRODA,0.677178461,-0.277145472,1.631502394,2.053809961,MIRI
CERTO,0.156333272,-0.889317048,1.201983593,1.874431597,MIRI
CICLO,-1.566992436,-2.624254426,-0.509730447,1.853845139,MIRI
ETA,-0.287924246,-1.201317608,0.625469116,2.145844367,MIRI
FUM,-1.10452857,-2.06506445,-0.143992689,2.040527627,MIRI
GUSEL,0.61153012,-0.320707078,1.543767318,2.102469204,MIRI
IFX,0.261406253,-0.775035266,1.297847772,1.891085955,MIRI
IXE,0.738601726,-0.190621048,1.6678245,2.109289672,MIRI
MTX,-1.390563287,-2.303909368,-0.477217205,2.145955448,MIRI
PBO,-2.450377577,-3.327004711,-1.573750442,2.235842268,MIRI
RISAN,0.821815826,-0.110489829,1.754121481,2.102314825,MIRI
SECU,0.787503539,-0.134031961,1.709039039,2.126884966,MIRI
TILDRA,0.320390763,-0.713948056,1.354729581,1.894930332,MIRI
TOFA,-0.197994222,-1.167120425,0.771131982,2.022440414,MIRI
TYK2,0.187714036,-2.024900694,2.400328766,0.885829771,MIRI
USK,0.364827525,-0.549651222,1.279306273,2.143297485,MIRI
ACI,-2.524926508,-2.920083263,-2.129769753,4.960056931,USK
ADA,-0.183791957,-0.534508023,0.16692411,5.588566331,USK
APRE,-0.805002139,-1.484929212,-0.125075066,2.882662093,USK
BIME,1.246849113,-1.58188314,4.075581366,0.692889897,USK
BRODA,0.312350936,-0.038785484,0.663487356,5.581876125,USK
CERTO,-0.208494253,-0.813076169,0.396087663,3.241909736,USK
CICLO,-1.931819962,-2.566214933,-1.29742499,3.089557907,USK
ETA,-0.652751771,-0.957534703,-0.347968839,6.430806306,USK
FUM,-1.469356095,-1.875184375,-1.063527815,4.829628929,USK
GUSEL,0.246702594,-0.105696638,0.599101826,5.561873642,USK
IFX,-0.103421272,-0.704349119,0.497506575,3.261622855,USK
IXE,0.3737742,0.041760154,0.705788247,5.903364687,USK
MIRI,-0.364827525,-1.279306273,0.549651222,2.143297485,USK
MTX,-1.755390812,-2.100144535,-1.410637088,5.685217785,USK
PBO,-2.815205102,-3.075582228,-2.554827976,7.527542948,USK
RISAN,0.456988301,0.169569128,0.744407474,6.819308466,USK
SECU,0.422676014,0.145757431,0.699594596,7.07789265,USK
TILDRA,-0.044436763,-0.629655383,0.540781858,3.349175731,USK
TOFA,-0.562821747,-1.033687051,-0.091956442,4.162549209,USK
TYK2,-0.177113489,-2.225279757,1.871052778,0.95695356,USK
ACI,-1.962104761,-2.470729628,-1.453479895,3.853527676,TOFA
ADA,0.37902979,-0.12417937,0.88223895,3.895000641,TOFA
APRE,-0.242180392,-0.989941433,0.505580649,2.621158221,TOFA
BIME,1.80967086,-1.037197661,4.656539381,0.688475771,TOFA
BRODA,0.875172683,0.326465631,1.423879735,3.57203355,TOFA
CERTO,0.354327494,-0.323425601,1.032080588,2.891908597,TOFA
CICLO,-1.368998215,-2.08415028,-0.65384615,2.740675858,TOFA
ETA,-0.089930024,-0.516769347,0.336909299,4.591891832,TOFA
FUM,-0.906534348,-1.465653065,-0.347415631,3.505516702,TOFA
GUSEL,0.809524341,0.301367738,1.317680945,3.857078677,TOFA
IFX,0.459400474,-0.22411553,1.142916478,2.867526127,TOFA
