Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading,Default_data
ETA:PBO,14,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ETA:SECU,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ETA:TILDRA,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ETA:USK,1,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
FUM:MTX,1,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
FUM:PBO,1,Major concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
GUSEL:IXE,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
GUSEL:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
GUSEL:SECU,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
IFX:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
IXE:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
IXE:USK,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
MTX:PBO,2,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
NETA:PBO,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
PBO:RISAN,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
PBO:SECU,16,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
PBO:SONELO,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
PBO:TILDRA,3,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
PBO:USK,11,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
RISAN:SECU,1,No concerns,Low risk,No concerns,No concerns,Some concerns,No concerns,High,"[""Heterogeneity""]",Yes
RISAN:USK,3,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
SECU:SONELO,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
SECU:USK,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:APRE,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:BRODA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:CERTO,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,High,"[""Imprecision""]",Yes
ADA:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
ADA:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:ETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:FUM,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
ADA:IFX,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:IXE,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:MTX,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
ADA:NETA,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:SECU,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:SONELO,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:TILDRA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:USK,0,No concerns,Low risk,No concerns,Some concerns,No concerns,No concerns,High,"[""Imprecision""]",Yes
APRE:BIME,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
APRE:BRODA,0,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
APRE:CERTO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
APRE:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
APRE:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
APRE:FUM,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
APRE:GUSEL,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
