studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n21,n22,perc of males,age,year
101,GUSEL,PBO,3.364,0.404,496.0,248.0,1.0,binary,0.288,GUSEL,PBO,0.673,binary,2016.0,347.0,6.0,8.0,3.0,692.0,992,496.0,248.0,0.697580645,44,2016.0
103,SECU,USK,0.346,0.046,550.0,552.0,1.0,binary,0.445,SECU,USK,0.423,binary,2018.0,421.0,299.0,14.0,9.0,732.0,1102,550.0,552.0,0.664246824,45,2018.0
105,ADA,PBO,1.894,0.378,7.0,6.0,,binary,0.459,ADA,PBO,0.551,binary,2017.0,,,0.0,0.0,93.0,150,7.0,6.0,0.62,51,2017.0
107,PBO,RISAN,-2.709,0.437,94.0,93.0,1.0,binary,0.268,PBO,RISAN,0.68,binary,2018.0,47.0,7.0,8.0,5.0,183.0,217,94.0,93.0,0.843317972,47,2018.0
107,PBO,USK,-2.118,0.451,98.0,299.0,1.0,binary,-0.971,PBO,USK,0.662,binary,2018.0,5.0,229.0,3.0,7.0,361.0,506,98.0,299.0,0.713438735,48,2018.0
107,RISAN,USK,0.591,0.121,98.0,99.0,1.0,binary,-1.239,RISAN,USK,0.504,binary,2018.0,5.0,42.0,3.0,8.0,361.0,506,98.0,99.0,0.713438735,48,2018.0
108,PBO,RISAN,-3.567,0.7,299.0,99.0,1.0,binary,-0.658,PBO,RISAN,1.074,binary,2018.0,229.0,42.0,7.0,8.0,361.0,506,299.0,99.0,0.713438735,48,2018.0
108,PBO,USK,-3.136,0.707,94.0,292.0,1.0,binary,-1.078,PBO,USK,1.146,binary,2018.0,2.0,220.0,1.0,6.0,336.0,491,94.0,292.0,0.684317719,47,2018.0
108,RISAN,USK,0.431,0.109,94.0,96.0,1.0,binary,-0.419,RISAN,USK,0.697,binary,2018.0,2.0,47.0,1.0,3.0,336.0,491,94.0,96.0,0.684317719,47,2018.0
109,CERTO,PBO,3.092,0.998,292.0,96.0,1.0,binary,1.064,CERTO,PBO,1.081,binary,2018.0,220.0,47.0,6.0,3.0,336.0,491,292.0,96.0,0.684317719,47,2018.0
110,CERTO,PBO,2.604,0.699,88.0,51.0,1.0,binary,1.628,CERTO,PBO,1.48,binary,2018.0,38.0,1.0,5.0,1.0,162.0,234,88.0,51.0,0.692307692,46,2018.0
112,PBO,TOFA,,,87.0,49.0,3.0,binary,,PBO,TOFA,,binary,2018.0,48.0,2.0,4.0,0.0,127.0,227,87.0,49.0,0.559471366,45,2018.0
115,ADA,PBO,-2.152,0.432,32.0,30.0,2.0,binary,1.546,ADA,PBO,1.529,binary,2018.0,,,2.0,0.0,67.0,96,32.0,30.0,0.697916667,43,2018.0
121,GUSEL,PBO,-1.796,0.334,62.0,16.0,1.0,binary,0.278,GUSEL,PBO,1.524,binary,2019.0,47.0,0.0,2.0,0.0,53.0,78,62.0,16.0,0.679487179,46,2019.0
124,APRE,PBO,4.504,1.411,85.0,84.0,1.0,binary,,APRE,PBO,,binary,2017.0,12.0,1.0,0.0,0.0,202.0,254,85.0,84.0,0.795275591,50.5,2017.0
125,GUSEL,PBO,4.062,1.407,63.0,64.0,2.0,binary,-0.677,GUSEL,PBO,1.212,binary,2018.0,44.0,0.0,1.0,2.0,145.0,192,63.0,64.0,0.755208333,49,2018.0
127,BIME,PBO,0.418,0.202,208.0,42.0,1.0,binary,-1.6,BIME,PBO,1.404,binary,2018.0,142.0,0.0,1.0,1.0,163.0,250,208.0,42.0,0.652,44,2018.0
