unique_id,name,treat,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio,_merge
163,NCT03364309,PBO,3,88,L,2,88,2021,0,438,40.5,335,,.,,,,,,.,Matched (3)
164,Blauvelt_2021,PBO,0,52,H,2,52,2021,0,157,49,87,18,32.5,94.300003,21.5,,,,70,Matched (3)
164,Blauvelt_2021,RISAN,1,105,H,66,105,2021,0,157,49,87,18,32.5,94.300003,21.5,,,,70,Matched (3)
165,PLANETA_2021,NETA,1,169,M,94,169,2021,0,213,41,156,9,28,87,19,,127,72,12,Matched (3)
165,PLANETA_2021,PBO,0,44,M,0,44,2021,0,213,41,156,9,28,87,19,,127,72,12,Matched (3)
166,Papp_2021,SONELO,5,208,L,129,208,2021,0,313,46,228,18.5,.,91,21,,,,50,Matched (3)
166,Papp_2021,SECU,0,53,L,34,53,2021,0,313,46,228,18.5,.,91,21,,,,50,Matched (3)
166,Papp_2021,PBO,1,52,L,0,52,2021,0,313,46,228,18.5,.,91,21,,,,50,Matched (3)
167,NCT03589885 MATURE,PBO,0,40,L,2,40,2021,0,122,,85,,.,,,,,,.,Matched (3)
167,NCT03589885 MATURE,SECU,4,82,L,57,82,2021,0,122,,85,,.,,,,,,.,Matched (3)
