unique_id,studlab,rob,treat1,treat2,n1,n2,r1,r2,z1,z2
114,"Langley IXORA-P, 2018",L,IXE,IXE,611,616,,,,
115,"Mehta VIP trial, 2018",M,ADA,PBO,33,31,.,.,2,0
116,NCT01961609 SIGNATURE  ,H,SECU,SECU,116,119,23,49,.,.
117,NCT02581345  ,L,ADA,ADA,286,286,147,165,7,4
118,Reich a 2019,H,IXE,MTX,54,54,43,21,1,1
118,Reich a 2019,H,FUM,MTX,54,54,5,21,3,1
118,Reich a 2019,H,IXE,FUM,54,54,43,5,1,3
119,NCT02660580 AURIEL-PsO  ,L,ADA,ADA,221,222,126,130,6,8
120,NCT02850965  ,L,ADA,ADA,159,159,.,.,7,5
121,"Ferris ORION, 2019  ",L,GUSEL,PBO,62,16,47,0,2,0
122,NCT02951533 POLARIS  ,H,GUSEL,FUM,60,59,49,8,3,2
123,NCT03000075  ,L,RISAN,PBO,55,58,41,1,2,1
123,NCT03000075  ,L,RISAN,PBO,58,58,44,1,2,1
123,NCT03000075  ,L,RISAN,RISAN,55,58,41,44,2,2
124,Ohtsuki 2017  ,L,APRE,PBO,85,84,6,1,4,0
124,Ohtsuki 2017  ,L,APRE,PBO,85,84,12,1,0,0
124,Ohtsuki 2017  ,L,APRE,APRE,85,85,6,12,4,0
125,Ohtsuki 2018,M,GUSEL,PBO,63,64,44,0,1,2
125,Ohtsuki 2018,M,GUSEL,PBO,65,64,46,0,1,2
125,Ohtsuki 2018,M,GUSEL,GUSEL,63,65,44,46,1,1
126,"Papp ABP 501, 2017",L,ADA,ADA,175,175,82,81,5,6
127,"Papp BE ABLE, 2018",L,BIME,PBO,208,42,142,0,1,1
128,"Papp NCT02054481, 2017  ",H,RISAN,USK,126,40,78,16,11,3
129,"Papp TYK2, 2018",L,TYK2,PBO,222,45,69,1,3,1
130,"Reich TRANSFIGURE, 2016",L,SECU,PBO,67,65,36,1,2,2
130,"Reich TRANSFIGURE, 2016",L,SECU,PBO,66,65,48,1,2,2
130,"Reich TRANSFIGURE, 2016",L,SECU,SECU,67,66,36,48,2,2
131,"Reich IXORA-S, 2017  ",L,IXE,USK,136,166,99,70,2,0
132,"Reich ReSURFACE-1, 2017  ",L,TILDRA,PBO,308,155,109,4,8,1
132,"Reich ReSURFACE-1, 2017  ",L,TILDRA,PBO,309,155,107,4,5,1
132,"Reich ReSURFACE-1, 2017  ",L,TILDRA,TILDRA,308,309,109,107,8,5
133,"Reich ReSURFACE-2, 2017",L,TILDRA,PBO,314,156,115,2,6,4
133,"Reich ReSURFACE-2, 2017",L,TILDRA,PBO,307,156,119,2,4,4
133,"Reich ReSURFACE-2, 2017",L,ETA,PBO,313,156,67,2,7,4
133,"Reich ReSURFACE-2, 2017",L,TILDRA,TILDRA,314,307,115,119,6,4
133,"Reich ReSURFACE-2, 2017",L,TILDRA,ETA,314,313,115,67,6,7
133,"Reich ReSURFACE-2, 2017",L,TILDRA,ETA,307,313,119,67,4,7
134,"Sticherling PRIME, 2017",H,SECU,FUM,105,97,72,8,4,4
135,Zhang 2017,M,TOFA,PBO,88,88,31,3,2,0
135,Zhang 2017,M,TOFA,PBO,90,88,54,3,0,0
135,Zhang 2017,M,TOFA,TOFA,88,90,31,54,2,0
136,"Lebwohl CIMPACT, 2018",M,CERTO,PBO,165,57,51,0,1,5
136,"Lebwohl CIMPACT, 2018",M,CERTO,PBO,167,57,57,0,4,5
136,"Lebwohl CIMPACT, 2018",M,ETA,PBO,170,57,46,0,1,5
136,"Lebwohl CIMPACT, 2018",M,CERTO,CERTO,165,167,51,57,1,4
136,"Lebwohl CIMPACT, 2018",M,CERTO,ETA,165,170,51,46,1,1
136,"Lebwohl CIMPACT, 2018",M,CERTO,ETA,167,170,57,46,4,1
137,Lee 2016,H,ETA,ACI,21,19,.,.,0,1
138,EUCTR2015-003623-65-DE  ,L,RISAN,ADA,301,304,218,144,10,9
139,NCT02672852 IMMhance,L,RISAN,PBO,407,100,298,2,8,8
140,NCT02134210,M,ETA,ETA,260,261,57,69,10,7
141,"Yu, 2019",H,ETA,MTX,15,15,6,9,0,0
142,"Hodge PsOsim, 2017",H,ADA,ADA,271,274,.,.,6,4
143,NCT02559622 von Stebut CARIMA 2019,H,SECU,PBO,48,49,27,0,1,2
143,NCT02559622 von Stebut CARIMA 2019,H,SECU,PBO,54,49,.,0,0,2
143,NCT02559622 von Stebut CARIMA 2019,H,SECU,SECU,48,54,27,.,1,0
144,Reich 2019,L,MIRI,PBO,153,52,79,0,2,1
145,"NCT02187172 Gelfand VIP-U, 2020",M,USK,PBO,22,21,9,0,0,0
146,"NCT02313922 Liu, 2019",H,MTX,PBO,233,233,145,97,3,6
147,"NCT02690701 Gelfand VIP-S, 2020",L,SECU,PBO,46,45,34,0,2,0
