studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n2.1,n2.2,perc of males,age,treat1_class,treat2_class,year
148,PBO,SECU,3.691912234,1.402948296,71,143,1,binary,1.393311934,PBO,SECU,1.21610957,binary,2020,1,98,2,1,133,214,71,143,0.621495327,.,1,1,2020
149,CERTO,PBO,-3.953433062,0.70262225,53,26,1,binary,,CERTO,PBO,,binary,2020,40,0,,1,99,127,53,26,0.779527559,50,1,1,2020
150,PBO,SECU,-0.096083489,0.038070821,135,272,1,binary,-0.803550109,PBO,SECU,0.774614248,binary,2020,2,210,2,9,412,543,135,272,0.758747698,40.5,1,1,2020
151,GUSEL,SECU,-2.120263536,0.391578004,534,514,1,binary,,GUSEL,SECU,,binary,2019,369,391,,,707,1048,534,514,0.674618321,46,1,1,2019
152,FUM,RISAN,1.098612289,0.19729013,60,60,2,binary,0.693147181,FUM,RISAN,1.211060142,binary,2020,6,50,2,1,71,120,60,60,0.591666667,42.5,1,1,2020
153,BRODA,FUM,,,105,105,3,binary,1.098612289,BRODA,FUM,1.146423008,binary,2020,69,23,3,1,145,210,105,105,0.69047619,.,1,1,2020
154,APRE,PBO,-0.257087207,0.047526951,201,102,1,binary,0.014815086,APRE,PBO,1.218696416,binary,2020,,,2,1,187,303,201,102,0.617161716,47,1,1,2020
155,GUSEL,IXE,-3.42924083,1.407288869,507,520,1,binary,-0.182321557,GUSEL,IXE,0.368140752,binary,2020,285,378,13,16,652,1027,507,520,0.634858812,49,1,1,2020
156,PBO,SECU,0.116845484,0.073332986,28,54,1,binary,,PBO,SECU,,binary,2020,0,29,,,52,102,28,54,0.509803922,44.5,1,1,2020
157,RISAN,SECU,2.285348573,0.367183541,164,163,2,binary,0.399348881,RISAN,SECU,0.515310826,binary,2020,121,107,9,6,213,327,164,163,0.651376147,47,1,1,2020
158,MIRI,PBO,,,423,107,1,,-0.458252613,MIRI,PBO,0.829632533,binary,2020,272,7,5,2,373,530,423,107,0.703773585,46.5,2,1,2020
