studlab,name,treat,r,n ,rob,z1,nz,year,funding,co_intervention,sample_size,age,male,duration_pso,weight,pasi_score,previous_topical,previous_photo,previous_systemic
,,,,,,,,,,,,,,,,,,,
125,ReSURFACE-1_2017,PBO,4,155,L,1,155,2017,1,0,772,47,533,,88.5,20,,,
,,,,,,,,,,,,,,,,,,,
125,ReSURFACE-1_2017,TILDRA,216,617,L,13,617,2017,1,0,772,47,533,,88.5,20,,,
,,,,,,,,,,,,,,,,,,,
126,ReSURFACE-2_2017,TILDRA,234,621,L,10,621,2017,1,0,1090,45,554,,88.5,20,,,
,,,,,,,,,,,,,,,,,,,
126,ReSURFACE-2_2017,PBO,2,156,L,4,156,2017,1,0,1090,45,554,,88.5,20,,,
,,,,,,,,,,,,,,,,,,,
126,ReSURFACE-2_2017,ETA,67,313,L,7,313,2017,1,0,1090,45,554,,88.5,20,,,
,,,,,,,,,,,,,,,,,,,
128,CIMPACT_2018,ETA,46,170,M,1,170,2018,1,0,559,46,381,18,89,21,,,
,,,,,,,,,,,,,,,,,,,
128,CIMPACT_2018,CERTO,108,332,M,5,332,2018,1,0,559,46,381,18,89,21,,,
,,,,,,,,,,,,,,,,,,,
128,CIMPACT_2018,PBO,0,57,M,5,57,2018,1,0,559,46,381,18,89,21,,,
,,,,,,,,,,,,,,,,,,,
130,IMMvent_2019,ADA,144,304,L,9,304,2019,1,0,605,46,422,,90,20,,,
,,,,,,,,,,,,,,,,,,,
130,IMMvent_2019,RISAN,218,301,L,10,301,2019,1,0,605,46,422,,90,20,,,
,,,,,,,,,,,,,,,,,,,
131,IMMhance_2020,RISAN,298,407,L,8,407,2020,1,0,507,49,356,,90.5,18,,,233
,,,,,,,,,,,,,,,,,,,
131,IMMhance_2020,PBO,2,100,L,8,100,2020,1,0,507,49,356,,90.5,18,,,233
,,,,,,,,,,,,,,,,,,,
135,CARIMA_2019,PBO,0,49,H,2,49,2020,1,0,151,45.200001,102,20,89,19.5,,,129
,,,,,,,,,,,,,,,,,,,
135,CARIMA_2019,SECU,27,102,H,1,102,2020,1,0,151,45.200001,102,20,89,19.5,,,129
,,,,,,,,,,,,,,,,,,,
136,VIP-U trial_2020,USK,9,22,M,,22,2020,1,0,43,42.5,30,18,100.5,20,,19,8
,,,,,,,,,,,,,,,,,,,
136,VIP-U trial_2020,PBO,0,21,M,,21,2020,1,0,43,42.5,30,18,100.5,20,,19,8
,,,,,,,,,,,,,,,,,,,
138,VIP-S trial_2020,PBO,0,45,L,0,45,2020,1,0,91,47.5,61,16,94.5,22,76,27,27
,,,,,,,,,,,,,,,,,,,
138,VIP-S trial_2020,SECU,34,46,L,2,46,2020,1,0,91,47.5,61,16,94.5,22,76,27,27
