,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
92,fluv,0.8006294699000001,0.6287067128,1.0195652998,8.1081064389,0.0319122128,amit
93,miln,0.9040408283,0.6987166131,1.1697014267,7.6078308839,0.0319122128,amit
94,mirt,1.0270683882,0.8193919921,1.2873807461,8.6763591747,0.0319122128,amit
95,nefa,0.8424306967,0.5631096995,1.2603041281,4.8657337689,0.0319122128,amit
96,paro,0.9595291085000001,0.8165235030000001,1.1275806595,12.1447238337,0.0319122128,amit
97,rebo,0.6786985157000001,0.4849891025,0.9497773719,5.8324550795,0.0319122128,amit
98,sert,0.8941826267,0.7384831578000001,1.0827092825,10.2450587208,0.0319122128,amit
99,traz,0.7135090179,0.5377944756,0.9466350840000001,6.9326884436,0.0319122128,amit
100,venl,0.9587565939,0.7903767081,1.1630077114,10.1487331634,0.0319122128,amit
101,vort,1.3370375023,0.7677490243,2.328455297,3.5331310673000003,0.0319122128,amit
102,agom,1.2051196845,0.9773109814000001,1.4860300166,9.3543020953,0.0319122128,fluo
103,amit,1.2387050834,1.0470580364,1.4654300242,11.6609621739,0.0319122128,fluo
104,bupr,1.3666374409,0.9559191337,1.9538241563,5.4835105301,0.0319122128,fluo
105,cita,1.0609840767,0.8672574853,1.2979850047000001,9.7214403685,0.0319122128,fluo
106,clom,0.9976712130000001,0.8025081554,1.2402962418,9.0039698881,0.0319122128,fluo
107,dulo,1.1396113214999999,0.8980818029000001,1.4460976271,8.2290228245,0.0319122128,fluo
108,esci,1.3348514443,1.1028276611,1.6156906843,10.2648689412,0.0319122128,fluo
109,fluv,0.9917437943,0.7917771561,1.2422128449,8.7039615449,0.0319122128,fluo
110,miln,1.1198399696,0.8807624779000001,1.4238135581,8.1614608343,0.0319122128,fluo
111,mirt,1.2722348335,1.0493854266,1.5424089477,10.1780969307,0.0319122128,fluo
112,nefa,1.0435231864,0.711310376,1.5308937945,5.1141675661,0.0319122128,fluo
113,paro,1.1885735843,1.0406354446,1.3575428097,14.745446734,0.0319122128,fluo
114,rebo,0.8407073014,0.6168492801000001,1.1458046389,6.3303639797,0.0319122128,fluo
115,sert,1.1076285652,0.9415178821,1.3030459239,12.0627825927,0.0319122128,fluo
116,traz,0.8838272475000001,0.676735013,1.15429317,7.3413233051,0.0319122128,fluo
117,venl,1.1876166666,1.0245275421,1.3766670869,13.2686216443,0.0319122128,fluo
118,vort,1.6561951507,0.9645482166,2.8438001647,3.62547812,0.0319122128,fluo
119,agom,1.2079327025,0.9114849775,1.6007958987,6.9604607508,0.0319122128,clom
120,amit,1.2415964972,0.9710457017,1.5875276098,7.9746181124,0.0319122128,clom
121,bupr,1.3698274773,0.9168596869000001,2.0465806759,4.8818683186000005,0.0319122128,clom
122,cita,1.0634606501,0.8129600418,1.3911490062,7.2970505682,0.0319122128,clom
123,dulo,1.1422714284,0.8490495721,1.536758346,6.6069687351,0.0319122128,clom
124,esci,1.3379672852,1.0284577668,1.7406222346,7.4498896702,0.0319122128,clom
125,fluo,1.0023342229,0.8062589938,1.2460932555,9.0039698881,0.0319122128,clom
126,fluv,0.9940587454,0.7482091716,1.3206905593,6.8986459595,0.0319122128,clom
127,miln,1.1224539257,0.8382410622,1.5030316125,6.7130908902,0.0319122128,clom
128,mirt,1.2752045132,0.9791704093,1.6607390655,7.4198536028,0.0319122128,clom
129,nefa,1.0459590022,0.6835956338,1.6004055323,4.6082636741,0.0319122128,clom
130,paro,1.19134798,0.9671789005,1.4674741237,9.4024089231,0.0319122128,clom
131,rebo,0.8426696997,0.5875204772,1.2086254868,5.434421474,0.0319122128,clom
132,sert,1.1102140172,0.8754945436,1.4078616171,8.2519657036,0.0319122128,clom
133,traz,0.8858902973,0.6454803001,1.2158413181,6.1908076267,0.0319122128,clom
134,venl,1.1903888286,0.9413256026000001,1.5053511341,8.3494435648,0.0319122128,clom
135,vort,1.6600610794000001,0.9382688794,2.9371141343,3.4351425712,0.0319122128,clom
136,agom,1.0139209725,0.8199174335,1.2538283691,9.2288886645,0.0319122128,paro
137,amit,1.0421778674,0.8868545160000001,1.2247044897000001,12.1447238337,0.0319122128,paro
138,bupr,1.1498130692,0.8032011213,1.6460013052,5.4634220267,0.0319122128,paro
139,cita,0.8926532532,0.7229153570000001,1.1022449901,9.2932366509,0.0319122128,paro
140,clom,0.8393853154,0.6814430209,1.0339348796,9.4024089231,0.0319122128,paro
141,dulo,0.9588058632,0.7618749331,1.2066398873,8.5252157398,0.0319122128,paro
142,esci,1.1230700917,0.9272285212,1.3602757055999999,10.2285071796,0.0319122128,paro
143,fluo,0.8413446279000001,0.7366250205,0.9609513161000001,14.745446734,0.0319122128,paro
144,fluv,0.8343983136,0.6652886245,1.0464939878,8.6538069757,0.0319122128,paro
145,miln,0.9421713425,0.7458950476,1.190096169,8.3903302586,0.0319122128,paro
146,mirt,1.0703879426,0.8846086963,1.2951832289,10.2816420424,0.0319122128,paro
147,nefa,0.877962627,0.5988095816,1.2872512366,5.1220354616,0.0319122128,paro
148,rebo,0.7073245717000001,0.5179300155000001,0.9659761643,6.2891161433,0.0319122128,paro
