,studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr,allstudies,studlab.orig,rob,effect_size1,outcome1_direction,treat.orig1,treat.orig2,r1,r2,n.orig1,n.orig2,year,year2,age_mean1,age_mean2
121,335,fluo,paro,0.10570351,0.30897775180000003,54,87,53,89,0.0,0,335,1,OR,beneficial,fluo,paro,54,53,87,89,1993.0,1993.0,45.0,43.0
122,336,fluo,paro,-1.0938390099,0.4784665926,8,52,19,54,0.0,0,336,1,OR,beneficial,fluo,paro,8,19,52,54,1993.0,1993.0,74.0,74.0
123,337,fluo,paro,-0.5096218921,0.3776642536,35,62,41,60,0.0,0,337,1,OR,beneficial,fluo,paro,35,41,62,60,1994.0,1994.0,39.0,43.0
124,338,amit,paro,0.28107096740000004,0.2298405506,91,153,82,156,0.0,0,338,1,OR,beneficial,amit,paro,91,82,153,156,1992.0,1992.0,50.0,49.0
125,339,amit,paro,-0.4734698372,0.44336060660000004,15,32,34,58,0.0,0,339,2,OR,beneficial,amit,paro,15,34,32,58,1992.0,1992.0,72.0,72.0
126,340,amit,paro,0.5877866649,0.6522245207,9,19,7,21,0.0,0,340,2,OR,beneficial,amit,paro,9,7,19,21,1995.0,1995.0,43.0,42.0
127,342,fluv,paro,-0.2795848622,0.3741412056,24,65,24,55,0.0,0,342,2,OR,beneficial,fluv,paro,24,24,65,55,1994.0,1994.0,43.0,44.0
128,343,fluo,paro,0.0392207132,0.4022373327,26,50,25,49,0.0,0,343,1,OR,beneficial,fluo,paro,26,25,50,49,1993.0,1993.0,44.0,44.0
129,344,fluo,paro,-0.2876820725,0.43885372570000003,27,45,30,45,0.0,0,344,1,OR,beneficial,fluo,paro,27,30,45,45,1993.0,1993.0,40.0,38.0
130,347,fluo,paro,-0.11300975690000001,0.3412334221,32,70,33,68,0.0,0,347,2,OR,beneficial,fluo,paro,32,33,70,68,,,41.0,42.0
131,348,amit,paro,-0.8544153282,0.3195084761,80,118,94,113,0.0,0,348,1,OR,beneficial,amit,paro,80,94,118,113,,,41.0,40.0
