,studlab,treat1,treat2,OR,TE_direct,TE_adj,seTE
229,281,mirt,paro,-1.1592369105,0.0056734824,-1.1649103929,0.7094138241
230,285,nefa,paro,-0.088947486,-0.2349439291,0.1459964431,0.2810963684
231,293,nefa,paro,-1.1856236657,-0.2349439291,-0.9506797366,0.7173006357
232,389,rebo,paro,-0.40293666180000004,-0.40293666180000004,5.551115123e-17,0.2242983348
233,202,sert,paro,0.2972515235,0.0915848476,0.2056666759,0.3156299301
234,410,sert,paro,-0.00896867,0.0915848476,-0.1005535176,0.2206961966
235,360,traz,paro,-0.5947822308,-0.5536437973,-0.0411384335,0.26988827460000003
236,438,traz,paro,-0.33647223660000003,-0.5536437973,0.21717156070000002,0.6200998384
237,467,venl,paro,0.2459424663,0.4238847181,-0.1779422518,0.22693762
238,478,venl,paro,0.9816909506,0.4238847181,0.5578062325,0.4017988007
239,84,cita,fluv,0.1017410701,0.1017410701,1.3877787810000002e-17,0.2978505346
240,221,amit,fluv,-1.1267831656,0.07177581620000001,-1.1985589818,0.7330085861000001
241,228,amit,fluv,-0.0352149063,0.07177581620000001,-0.10699072250000001,0.262604791
242,232,amit,fluv,1.0056661762,0.07177581620000001,0.93389036,0.49691020010000003
243,224,fluo,fluv,0.0148886125,-0.0332511147,0.0481397272,0.4067371873
244,229,fluo,fluv,-0.0592694085,-0.0332511147,-0.0260182938,0.2990208522
245,210,clom,fluv,0.4660897299,0.6174758118,-0.1513860819,0.7334781497
246,223,clom,fluv,0.7672551527,0.6174758118,0.1497793409,0.7295753695
247,227,paro,fluv,-0.134732594,0.1380106592,-0.27274325320000004,0.5193025879000001
248,342,paro,fluv,0.2795848622,0.1380106592,0.141574203,0.3741412056
249,241,miln,fluv,0.5114523866,0.5391371741000001,-0.027684787500000002,0.38784794170000003
250,245,miln,fluv,0.5679840376,0.5391371741000001,0.0288468635,0.39590427640000003
251,277,mirt,fluv,-0.34347343210000003,0.1274608399,-0.47093427200000004,0.2872392721
252,278,mirt,fluv,0.6250937173000001,0.1274608399,0.4976328774,0.2952692369
253,222,sert,fluv,-0.2881760216,-0.4399186101,0.1517425885,0.40739396580000004
254,230,sert,fluv,-0.6329283206,-0.4399186101,-0.19300971050000001,0.45946287690000004
255,465,venl,fluv,0.8605801249,0.8605801249,0.0,0.4204101133
256,239,amit,miln,0.6836684366,0.17238403160000002,0.511284405,0.37772668470000004
257,240,amit,miln,-0.5130957723,0.17238403160000002,-0.6854798039000001,0.4373646977
258,242,fluo,miln,0.5578284774,0.1395461881,0.4182822893,0.2998173266
259,244,fluo,miln,-0.1404830411,0.1395461881,-0.2800292292,0.24531475560000002
260,243,clom,miln,-0.1397619424,-0.1397619424,0.0,0.3949408321
261,247,paro,miln,0.0725125516,0.044842408300000004,0.027670143300000002,0.2337070091
262,248,paro,miln,0.0345795193,0.044842408300000004,-0.010262889,0.1423314417
263,241,fluv,miln,-0.5114523866,-0.5391371741000001,0.027684787500000002,0.38784794170000003
264,245,fluv,miln,-0.5679840376,-0.5391371741000001,-0.0288468635,0.39590427640000003
265,246,sert,miln,-0.735706795,-0.735706795,0.0,0.9138626415000001
266,263,cita,mirt,0.2805174592,0.2805174592,0.0,0.3567726809
267,262,fluo,mirt,-0.6990819161,-0.40465380100000004,-0.2944281151,0.35218372200000003
